date,arima,prophet,ma_benchmark
2024-03-01,749921.1000000001,763295.6604726939,752462.2966666667
2024-04-01,749921.1000000001,782050.4018998054,752462.2966666667
2024-05-01,749921.1000000001,781325.4639772484,752462.2966666667
2024-06-01,749921.1000000001,772952.0796166213,752462.2966666667
2024-07-01,749921.1000000001,753158.6250845635,752462.2966666667
2024-08-01,749921.1000000001,740341.5648879092,752462.2966666667
2024-09-01,749921.1000000001,761731.7661211219,752462.2966666667
2024-10-01,749921.1000000001,754073.683520091,752462.2966666667
2024-11-01,749921.1000000001,763347.135797478,752462.2966666667
2024-12-01,749921.1000000001,775306.5266798439,752462.2966666667
2025-01-01,749921.1000000001,793046.8123077889,752462.2966666667
2025-02-01,749921.1000000001,772144.6304790739,752462.2966666667
